symbol,assetType,exchange,canonicalName,aliases,sector
ISCTR,STOCK,BIST,TÜRK?YE ?? BANKASI A.?.,ISCTR|TÜRK?YE ?? BANKASI A.?.|TURK?YE ?? BANKASI A.?.|İş Bankası|Is Bankasi|Türkiye İş Bankası|Turkiye Is Bankasi|İşbank|Isbank,Unknown
ISDMR,STOCK,BIST,?SKENDERUN DEM?R VE ÇEL?K A.?.,ISDMR|?SKENDERUN DEM?R VE ÇEL?K A.?.|?SKENDERUN DEM?R VE CEL?K A.?.,Unknown
ISFIN,STOCK,BIST,?? F?NANSAL K?RALAMA A.?.,ISFIN|?? F?NANSAL K?RALAMA A.?.,Unknown
ISGSY,STOCK,BIST,?? G?R???M SERMAYES? YATIRIM ORTAKLI?I A.?.,ISGSY|?? G?R???M SERMAYES? YATIRIM ORTAKLI?I A.?.,Unknown
ISGYO,STOCK,BIST,?? GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,ISGYO|?? GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,Unknown
ISKPL,STOCK,BIST,I?IK PLAST?K SANAY? VE DI? T?CARET PAZARLAMA A.?.,ISKPL|I?IK PLAST?K SANAY? VE DI? T?CARET PAZARLAMA A.?.,Unknown
ISKUR,STOCK,BIST,TÜRK?YE ?? BANKASI A.?.,ISKUR|TÜRK?YE ?? BANKASI A.?.|TURK?YE ?? BANKASI A.?.,Unknown
ISMEN,STOCK,BIST,?? YATIRIM MENKUL DE?ERLER A.?.,ISMEN|?? YATIRIM MENKUL DE?ERLER A.?.,Unknown
ISSEN,STOCK,BIST,??B?R SENTET?K DOKUMA SANAY? A.?.,ISSEN|??B?R SENTET?K DOKUMA SANAY? A.?.,Unknown
ISYAT,STOCK,BIST,?? YATIRIM ORTAKLI?I A.?.,ISYAT|?? YATIRIM ORTAKLI?I A.?.,Unknown
ITTFH,STOCK,BIST,?TT?FAK HOLD?NG A.?.,ITTFH|?TT?FAK HOLD?NG A.?.,Unknown
IZENR,STOCK,BIST,?ZDEM?R ENERJ? ELEKTR?K ÜRET?M A.?.,IZENR|?ZDEM?R ENERJ? ELEKTR?K ÜRET?M A.?.|?ZDEM?R ENERJ? ELEKTR?K URET?M A.?.,Unknown
IZFAS,STOCK,BIST,?ZM?R FIRÇA SANAY? VE T?CARET A.?.,IZFAS|?ZM?R FIRÇA SANAY? VE T?CARET A.?.|?ZM?R FIRCA SANAY? VE T?CARET A.?.,Unknown
IZINV,STOCK,BIST,?Z YATIRIM HOLD?NG A.?.,IZINV|?Z YATIRIM HOLD?NG A.?.,Unknown
IZMDC,STOCK,BIST,?ZM?R DEM?R ÇEL?K SANAY? A.?.,IZMDC|?ZM?R DEM?R ÇEL?K SANAY? A.?.|?ZM?R DEM?R CEL?K SANAY? A.?.,Unknown
JANTS,STOCK,BIST,JANTSA JANT SANAY? VE T?CARET A.?.,JANTS|JANTSA JANT SANAY? VE T?CARET A.?.,Unknown
KAPLM,STOCK,BIST,KAPLAM?N AMBALAJ SANAY? VE T?CARET A.?.,KAPLM|KAPLAM?N AMBALAJ SANAY? VE T?CARET A.?.,Unknown
KAREL,STOCK,BIST,KAREL ELEKTRON?K SANAY? VE T?CARET A.?.,KAREL|KAREL ELEKTRON?K SANAY? VE T?CARET A.?.,Unknown
KARSN,STOCK,BIST,KARSAN OTOMOT?V SANAY?? VE T?CARET A.?.,KARSN|KARSAN OTOMOT?V SANAY?? VE T?CARET A.?.,Unknown
KARTN,STOCK,BIST,KARTONSAN KARTON SANAY? VE T?CARET A.?.,KARTN|KARTONSAN KARTON SANAY? VE T?CARET A.?.,Unknown
KARYE,STOCK,BIST,KARTAL YEN?LENEB?L?R ENERJ? ÜRET?M A.?.,KARYE|KARTAL YEN?LENEB?L?R ENERJ? ÜRET?M A.?.|KARTAL YEN?LENEB?L?R ENERJ? URET?M A.?.,Unknown
KATMR,STOCK,BIST,KATMERC?LER ARAÇ ÜSTÜ EK?PMAN SANAY? VE T?CARET A.?.,KATMR|KATMERC?LER ARAÇ ÜSTÜ EK?PMAN SANAY? VE T?CARET A.?.|KATMERC?LER ARAC USTU EK?PMAN SANAY? VE T?CARET A.?.,Unknown
KCAER,STOCK,BIST,KOCAER ÇEL?K SANAY? VE T?CARET A.?.,KCAER|KOCAER ÇEL?K SANAY? VE T?CARET A.?.|KOCAER CEL?K SANAY? VE T?CARET A.?.,Unknown
KCHOL,STOCK,BIST,KOÇ HOLD?NG A.?.,KCHOL|KOÇ HOLD?NG A.?.|KOC HOLD?NG A.?.|Koç Holding|Koc Holding|Koç,Unknown
KENT,STOCK,BIST,KENT GIDA MADDELER? SANAY?? VE T?CARET A.?.,KENT|KENT GIDA MADDELER? SANAY?? VE T?CARET A.?.,Unknown
KERVN,STOCK,BIST,KERVANSARAY YATIRIM HOLD?NG A.?.,KERVN|KERVANSARAY YATIRIM HOLD?NG A.?.,Unknown
KERVT,STOCK,BIST,KEREV?TA? GIDA SANAY? VE T?CARET A.?.,KERVT|KEREV?TA? GIDA SANAY? VE T?CARET A.?.,Unknown
KFEIN,STOCK,BIST,KAFE?N YAZILIM H?ZMETLER? T?CARET A.?.,KFEIN|KAFE?N YAZILIM H?ZMETLER? T?CARET A.?.,Unknown
KGYO,STOCK,BIST,KORAY GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,KGYO|KORAY GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,Unknown
KIMMR,STOCK,BIST,ERSAN ALI?VER?? H?ZMETLER? VE GIDA SANAY? T?CARET A.?.,KIMMR|ERSAN ALI?VER?? H?ZMETLER? VE GIDA SANAY? T?CARET A.?.,Unknown
KLGYO,STOCK,BIST,K?LER GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,KLGYO|K?LER GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,Unknown
KLKIM,STOCK,BIST,KALEK?M K?MYEV? MADDELER SANAY? VE T?CARET A.?.,KLKIM|KALEK?M K?MYEV? MADDELER SANAY? VE T?CARET A.?.,Unknown
KLMSN,STOCK,BIST,KL?MASAN KL?MA SANAY? VE T?CARET A.?.,KLMSN|KL?MASAN KL?MA SANAY? VE T?CARET A.?.,Unknown
KLNMA,STOCK,BIST,TÜRK?YE KALKINMA VE YATIRIM BANKASI A.?.,KLNMA|TÜRK?YE KALKINMA VE YATIRIM BANKASI A.?.|TURK?YE KALKINMA VE YATIRIM BANKASI A.?.,Unknown
KLRHO,STOCK,BIST,K?LER HOLD?NG A.?.,KLRHO|K?LER HOLD?NG A.?.,Unknown
KLSER,STOCK,BIST,KALESERAM?K ÇANAKKALE KALEBODUR SERAM?K SANAY? A.?.,KLSER|KALESERAM?K ÇANAKKALE KALEBODUR SERAM?K SANAY? A.?.|KALESERAM?K CANAKKALE KALEBODUR SERAM?K SANAY? A.?.,Unknown
KLSYN,STOCK,BIST,KOLEKS?YON MOB?LYA SANAY? A.?.,KLSYN|KOLEKS?YON MOB?LYA SANAY? A.?.,Unknown
KMPUR,STOCK,BIST,K?MTEKS POL?ÜRETAN SANAY? VE T?CARET A.?.,KMPUR|K?MTEKS POL?ÜRETAN SANAY? VE T?CARET A.?.|K?MTEKS POL?URETAN SANAY? VE T?CARET A.?.,Unknown
KNFRT,STOCK,BIST,KONFRUT GIDA SANAY? VE T?CARET A.?.,KNFRT|KONFRUT GIDA SANAY? VE T?CARET A.?.,Unknown
KONKA,STOCK,BIST,KONYA KA?IT SANAY? VE T?CARET A.?.,KONKA|KONYA KA?IT SANAY? VE T?CARET A.?.,Unknown
KONTR,STOCK,BIST,KONTROLMAT?K TEKNOLOJ? ENERJ? VE MÜHEND?SL?K A.?.,KONTR|KONTROLMAT?K TEKNOLOJ? ENERJ? VE MÜHEND?SL?K A.?.|KONTROLMAT?K TEKNOLOJ? ENERJ? VE MUHEND?SL?K A.?.,Unknown
KONYA,STOCK,BIST,KONYA Ç?MENTO SANAY?? A.?.,KONYA|KONYA Ç?MENTO SANAY?? A.?.|KONYA C?MENTO SANAY?? A.?.,Unknown
KOPOL,STOCK,BIST,KOZA POLYESTER SANAY? VE T?CARET A.?.,KOPOL|KOZA POLYESTER SANAY? VE T?CARET A.?.,Unknown
KORDS,STOCK,BIST,KORDSA TEKN?K TEKST?L A.?.,KORDS|KORDSA TEKN?K TEKST?L A.?.,Unknown
KOZAA,STOCK,BIST,KOZA ANADOLU METAL MADENC?L?K ??LETMELER? A.?.,KOZAA|KOZA ANADOLU METAL MADENC?L?K ??LETMELER? A.?.,Unknown
KOZAL,STOCK,BIST,KOZA ALTIN ??LETMELER? A.?.,KOZAL|KOZA ALTIN ??LETMELER? A.?.,Unknown
KRDMA,STOCK,BIST,KARDEM?R KARABÜK DEM?R ÇEL?K SANAY? VE T?CARET A.?.,KRDMA|KARDEM?R KARABÜK DEM?R ÇEL?K SANAY? VE T?CARET A.?.|KARDEM?R KARABUK DEM?R CEL?K SANAY? VE T?CARET A.?.,Unknown
KRDMB,STOCK,BIST,KARDEM?R KARABÜK DEM?R ÇEL?K SANAY? VE T?CARET A.?.,KRDMB|KARDEM?R KARABÜK DEM?R ÇEL?K SANAY? VE T?CARET A.?.|KARDEM?R KARABUK DEM?R CEL?K SANAY? VE T?CARET A.?.,Unknown
KRDMD,STOCK,BIST,KARDEM?R KARABÜK DEM?R ÇEL?K SANAY? VE T?CARET A.?.,KRDMD|KARDEM?R KARABÜK DEM?R ÇEL?K SANAY? VE T?CARET A.?.|KARDEM?R KARABUK DEM?R CEL?K SANAY? VE T?CARET A.?.,Unknown
KRGYO,STOCK,BIST,KÖRFEZ GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,KRGYO|KÖRFEZ GAYR?MENKUL YATIRIM ORTAKLI?I A.?.|KORFEZ GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,Unknown
KRONT,STOCK,BIST,KRON TEKNOLOJ? A.?.,KRONT|KRON TEKNOLOJ? A.?.,Unknown
KRPLS,STOCK,BIST,KOROPLAST TEM?ZL?K AMBALAJ ÜRÜNLER? SANAY? VE DI? T?CARET A.?.,KRPLS|KOROPLAST TEM?ZL?K AMBALAJ ÜRÜNLER? SANAY? VE DI? T?CARET A.?.|KOROPLAST TEM?ZL?K AMBALAJ URUNLER? SANAY? VE DI? T?CARET A.?.,Unknown
KRSTL,STOCK,BIST,KR?STAL KOLA VE ME?RUBAT SANAY? T?CARET A.?.,KRSTL|KR?STAL KOLA VE ME?RUBAT SANAY? T?CARET A.?.,Unknown
KRTEK,STOCK,BIST,KARSU TEKST?L SANAY?? VE T?CARET A.?.,KRTEK|KARSU TEKST?L SANAY?? VE T?CARET A.?.,Unknown
KRVGD,STOCK,BIST,KERVAN GIDA SANAY? VE T?CARET A.?.,KRVGD|KERVAN GIDA SANAY? VE T?CARET A.?.,Unknown
KSTUR,STOCK,BIST,KU?TUR KU?ADASI TUR?ZM ENDÜSTR?S? A.?.,KSTUR|KU?TUR KU?ADASI TUR?ZM ENDÜSTR?S? A.?.|KU?TUR KU?ADASI TUR?ZM ENDUSTR?S? A.?.,Unknown
KTLEV,STOCK,BIST,KATILIMEV?M TASARRUF F?NANSMAN A.?.,KTLEV|KATILIMEV?M TASARRUF F?NANSMAN A.?.,Unknown
KTSKR,STOCK,BIST,KÜTAHYA ?EKER FABR?KASI A.?.,KTSKR|KÜTAHYA ?EKER FABR?KASI A.?.|KUTAHYA ?EKER FABR?KASI A.?.,Unknown
KUTPO,STOCK,BIST,KÜTAHYA PORSELEN SANAY? A.?.,KUTPO|KÜTAHYA PORSELEN SANAY? A.?.|KUTAHYA PORSELEN SANAY? A.?.,Unknown
KUVVA,STOCK,BIST,KUVVA GIDA T?CARET VE SANAY? YATIRIMLARI A.?.,KUVVA|KUVVA GIDA T?CARET VE SANAY? YATIRIMLARI A.?.,Unknown
KUYAS,STOCK,BIST,KUYA? YATIRIM A.?.,KUYAS|KUYA? YATIRIM A.?.,Unknown
KZBGY,STOCK,BIST,KIZILBÜK GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,KZBGY|KIZILBÜK GAYR?MENKUL YATIRIM ORTAKLI?I A.?.|KIZILBUK GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,Unknown
KZGYO,STOCK,BIST,KUZUGRUP GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,KZGYO|KUZUGRUP GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,Unknown
LIDER,STOCK,BIST,LDR TUR?ZM A.?.,LIDER|LDR TUR?ZM A.?.,Unknown
LIDFA,STOCK,BIST,L?DER FAKTOR?NG A.?.,LIDFA|L?DER FAKTOR?NG A.?.,Unknown
LINK,STOCK,BIST,L?NK B?LG?SAYAR S?STEMLER? YAZILIMI VE DONANIMI SANAY? VE T?CARET A.?.,LINK|L?NK B?LG?SAYAR S?STEMLER? YAZILIMI VE DONANIMI SANAY? VE T?CARET A.?.,Unknown
LKMNH,STOCK,BIST,LOKMAN HEK?M ENGÜRÜSA? SA?LIK TUR?ZM E??T?M H?ZMETLER? VE ?N?AAT TAAHHÜT A.?.,LKMNH|LOKMAN HEK?M ENGÜRÜSA? SA?LIK TUR?ZM E??T?M H?ZMETLER? VE ?N?AAT TAAHHÜT A.?.|LOKMAN HEK?M ENGURUSA? SA?LIK TUR?ZM E??T?M H?ZMETLER? VE ?N?AAT TAAHHUT A.?.,Unknown
LOGO,STOCK,BIST,LOGO YAZILIM SANAY? VE T?CARET A.?.,LOGO|LOGO YAZILIM SANAY? VE T?CARET A.?.|Logo|Logo Yazılım|Logo Yazilim,Unknown
LUKSK,STOCK,BIST,LÜKS KAD?FE T?CARET VE SANAY?? A.?.,LUKSK|LÜKS KAD?FE T?CARET VE SANAY?? A.?.|LUKS KAD?FE T?CARET VE SANAY?? A.?.,Unknown
MAALT,STOCK,BIST,MARMAR?S ALTINYUNUS TUR?ST?K TES?SLER A.?.,MAALT|MARMAR?S ALTINYUNUS TUR?ST?K TES?SLER A.?.,Unknown
MACKO,STOCK,BIST,MACKOL?K ?NTERNET H?ZMETLER? T?CARET A.?.,MACKO|MACKOL?K ?NTERNET H?ZMETLER? T?CARET A.?.,Unknown
MAGEN,STOCK,BIST,MARGÜN ENERJ? ÜRET?M SANAY? VE T?CARET A.?.,MAGEN|MARGÜN ENERJ? ÜRET?M SANAY? VE T?CARET A.?.|MARGUN ENERJ? URET?M SANAY? VE T?CARET A.?.,Unknown
MAKIM,STOCK,BIST,MAK?M MAK?NA TEKNOLOJ?LER? SANAY? VE T?CARET A.?.,MAKIM|MAK?M MAK?NA TEKNOLOJ?LER? SANAY? VE T?CARET A.?.,Unknown
MAKTK,STOCK,BIST,MAK?NA TAKIM ENDÜSTR?S? A.?.,MAKTK|MAK?NA TAKIM ENDÜSTR?S? A.?.|MAK?NA TAKIM ENDUSTR?S? A.?.,Unknown
MANAS,STOCK,BIST,MANAS ENERJ? YÖNET?M? SANAY? VE T?CARET A.?.,MANAS|MANAS ENERJ? YÖNET?M? SANAY? VE T?CARET A.?.|MANAS ENERJ? YONET?M? SANAY? VE T?CARET A.?.,Unknown
MARKA,STOCK,BIST,MARKA YATIRIM HOLD?NG A.?.,MARKA|MARKA YATIRIM HOLD?NG A.?.,Unknown
MAVI,STOCK,BIST,MAV? G?Y?M SANAY? VE T?CARET A.?.,MAVI|MAV? G?Y?M SANAY? VE T?CARET A.?.,Unknown
MEDTR,STOCK,BIST,MED?TERA TIBB? MALZEME SANAY? VE T?CARET A.?.,MEDTR|MED?TERA TIBB? MALZEME SANAY? VE T?CARET A.?.,Unknown
MEGAP,STOCK,BIST,MEGA POL?ET?LEN KÖPÜK SANAY? VE T?CARET A.?.,MEGAP|MEGA POL?ET?LEN KÖPÜK SANAY? VE T?CARET A.?.|MEGA POL?ET?LEN KOPUK SANAY? VE T?CARET A.?.,Unknown
MEPET,STOCK,BIST,MEPET METRO PETROL VE TES?SLER? SANAY? T?CARET A.?.,MEPET|MEPET METRO PETROL VE TES?SLER? SANAY? T?CARET A.?.,Unknown
MERCN,STOCK,BIST,MERCAN K?MYA SANAY? VE T?CARET A.?.,MERCN|MERCAN K?MYA SANAY? VE T?CARET A.?.,Unknown
MERIT,STOCK,BIST,MER?T TUR?ZM YATIRIM VE ??LETME A.?.,MERIT|MER?T TUR?ZM YATIRIM VE ??LETME A.?.,Unknown
METRO,STOCK,BIST,METRO T?CAR? VE MAL? YATIRIMLAR HOLD?NG A.?.,METRO|METRO T?CAR? VE MAL? YATIRIMLAR HOLD?NG A.?.,Unknown
METUR,STOCK,BIST,METEMTUR YATIRIM ENERJ? TUR?ZM VE ?N?AAT A.?.,METUR|METEMTUR YATIRIM ENERJ? TUR?ZM VE ?N?AAT A.?.,Unknown
MGROS,STOCK,BIST,M?GROS T?CARET A.?.,MGROS|M?GROS T?CARET A.?.|Migros,Unknown
MIATK,STOCK,BIST,M?A TEKNOLOJ? A.?.,MIATK|M?A TEKNOLOJ? A.?.,Unknown
MIPAZ,STOCK,BIST,M?LPA T?CAR? VE SINA? ÜRÜNLER PAZARLAMA SANAY? VE T?CARET A.?.,MIPAZ|M?LPA T?CAR? VE SINA? ÜRÜNLER PAZARLAMA SANAY? VE T?CARET A.?.|M?LPA T?CAR? VE SINA? URUNLER PAZARLAMA SANAY? VE T?CARET A.?.,Unknown
MMCAS,STOCK,BIST,MMC SANAY? VE T?CAR? YATIRIMLAR A.?.,MMCAS|MMC SANAY? VE T?CAR? YATIRIMLAR A.?.,Unknown
MNDRS,STOCK,BIST,MENDERES TEKST?L SANAY? VE T?CARET A.?.,MNDRS|MENDERES TEKST?L SANAY? VE T?CARET A.?.,Unknown
MNDTR,STOCK,BIST,MOND? TURKEY OLUKLU MUKAVVA KA?IT VE AMBALAJ SANAY? A.?.,MNDTR|MOND? TURKEY OLUKLU MUKAVVA KA?IT VE AMBALAJ SANAY? A.?.,Unknown
MOBTL,STOCK,BIST,MOB?LTEL ?LET???M H?ZMETLER? SANAY? VE T?CARET A.?.,MOBTL|MOB?LTEL ?LET???M H?ZMETLER? SANAY? VE T?CARET A.?.,Unknown
MPARK,STOCK,BIST,MLP SA?LIK H?ZMETLER? A.?.,MPARK|MLP SA?LIK H?ZMETLER? A.?.,Unknown
MRSHL,STOCK,BIST,MARSHALL BOYA VE VERN?K SANAY?? A.?.,MRSHL|MARSHALL BOYA VE VERN?K SANAY?? A.?.,Unknown
MSGYO,STOCK,BIST,M?STRAL GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,MSGYO|M?STRAL GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,Unknown
MTRKS,STOCK,BIST,MATR?KS B?LG? DA?ITIM H?ZMETLER? A.?.,MTRKS|MATR?KS B?LG? DA?ITIM H?ZMETLER? A.?.,Unknown
MTRYO,STOCK,BIST,METRO YATIRIM ORTAKLI?I A.?.,MTRYO|METRO YATIRIM ORTAKLI?I A.?.,Unknown
MZHLD,STOCK,BIST,MAZHAR ZORLU HOLD?NG A.?.,MZHLD|MAZHAR ZORLU HOLD?NG A.?.,Unknown
NATEN,STOCK,BIST,NATUREL YEN?LENEB?L?R ENERJ? T?CARET A.?.,NATEN|NATUREL YEN?LENEB?L?R ENERJ? T?CARET A.?.,Unknown
NETAS,STOCK,BIST,NETA? TELEKOMÜN?KASYON A.?.,NETAS|NETA? TELEKOMÜN?KASYON A.?.|NETA? TELEKOMUN?KASYON A.?.|Netaş|Netas,Unknown
NIBAS,STOCK,BIST,N??BA? N??DE BETON SANAY? VE T?CARET A.?.,NIBAS|N??BA? N??DE BETON SANAY? VE T?CARET A.?.,Unknown
NTGAZ,STOCK,BIST,NATURELGAZ SANAY? VE T?CARET A.?.,NTGAZ|NATURELGAZ SANAY? VE T?CARET A.?.,Unknown
NTHOL,STOCK,BIST,NET HOLD?NG A.?.,NTHOL|NET HOLD?NG A.?.,Unknown
NUGYO,STOCK,BIST,NUROL GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,NUGYO|NUROL GAYR?MENKUL YATIRIM ORTAKLI?I A.?.,Unknown
NUHCM,STOCK,BIST,NUH Ç?MENTO SANAY? A.?.,NUHCM|NUH Ç?MENTO SANAY? A.?.|NUH C?MENTO SANAY? A.?.,Unknown
OBASE,STOCK,BIST,OBASE B?LG?SAYAR VE DANI?MANLIK H?ZMETLER? T?CARET A.?.,OBASE|OBASE B?LG?SAYAR VE DANI?MANLIK H?ZMETLER? T?CARET A.?.,Unknown
ODAS,STOCK,BIST,ODA? ELEKTR?K ÜRET?M SANAY? T?CARET A.?.,ODAS|ODA? ELEKTR?K ÜRET?M SANAY? T?CARET A.?.|ODA? ELEKTR?K URET?M SANAY? T?CARET A.?.,Unknown
OFSYM,STOCK,BIST,OF?S YEM GIDA SANAY? T?CARET A.?.,OFSYM|OF?S YEM GIDA SANAY? T?CARET A.?.,Unknown
