symbol,assetType,exchange,canonicalName,aliases,sector
EURUSD,FOREX,FX,Euro / US Dollar,EURUSD|Euro / US Dollar|EUR/USD|Euro/Dolar,Forex
GBPUSD,FOREX,FX,British Pound / US Dollar,GBPUSD|British Pound / US Dollar|GBP/USD,Forex
USDTRY,FOREX,FX,US Dollar / Turkish Lira,USDTRY|US Dollar / Turkish Lira|USD/TRY|Dolar/TL|Dolar kuru,Forex
EURTRY,FOREX,FX,Euro / Turkish Lira,EURTRY|Euro / Turkish Lira|EUR/TRY|Euro/TL|Euro kuru,Forex
GBPTRY,FOREX,FX,British Pound / Turkish Lira,GBPTRY|British Pound / Turkish Lira|GBP/TRY,Forex
USDJPY,FOREX,FX,US Dollar / Japanese Yen,USDJPY|US Dollar / Japanese Yen|USD/JPY,Forex
USDCHF,FOREX,FX,US Dollar / Swiss Franc,USDCHF|US Dollar / Swiss Franc|USD/CHF,Forex
USDCAD,FOREX,FX,US Dollar / Canadian Dollar,USDCAD|US Dollar / Canadian Dollar|USD/CAD,Forex
AUDUSD,FOREX,FX,Australian Dollar / US Dollar,AUDUSD|Australian Dollar / US Dollar|AUD/USD,Forex
NZDUSD,FOREX,FX,New Zealand Dollar / US Dollar,NZDUSD|New Zealand Dollar / US Dollar|NZD/USD,Forex
EURGBP,FOREX,FX,Euro / British Pound,EURGBP|Euro / British Pound|EUR/GBP,Forex
EURJPY,FOREX,FX,Euro / Japanese Yen,EURJPY|Euro / Japanese Yen|EUR/JPY,Forex
GBPJPY,FOREX,FX,British Pound / Japanese Yen,GBPJPY|British Pound / Japanese Yen|GBP/JPY,Forex
USDCNY,FOREX,FX,US Dollar / Chinese Yuan,USDCNY|US Dollar / Chinese Yuan|USD/CNY,Forex
USDSEK,FOREX,FX,US Dollar / Swedish Krona,USDSEK|US Dollar / Swedish Krona|USD/SEK,Forex
USDNOK,FOREX,FX,US Dollar / Norwegian Krone,USDNOK|US Dollar / Norwegian Krone|USD/NOK,Forex
USDDKK,FOREX,FX,US Dollar / Danish Krone,USDDKK|US Dollar / Danish Krone|USD/DKK,Forex
USDZAR,FOREX,FX,US Dollar / South African Rand,USDZAR|US Dollar / South African Rand|USD/ZAR,Forex
USDINR,FOREX,FX,US Dollar / Indian Rupee,USDINR|US Dollar / Indian Rupee|USD/INR,Forex
USDSAR,FOREX,FX,US Dollar / Saudi Riyal,USDSAR|US Dollar / Saudi Riyal|USD/SAR,Forex
AACB,STOCK,NASDAQ,Artius II Acquisition Inc.,AACB|Artius II Acquisition Inc.,Unknown
AACI,STOCK,NASDAQ,Armada Acquisition Corp. III,AACI|Armada Acquisition Corp. III,Unknown
AACO,STOCK,NASDAQ,Abony Acquisition Corp. I,AACO|Abony Acquisition Corp. I,Unknown
AAL,STOCK,NASDAQ,"American Airlines Group, Inc.","AAL|American Airlines Group, Inc.",Unknown
AAME,STOCK,NASDAQ,Atlantic American Corporation,AAME|Atlantic American Corporation,Unknown
AAOI,STOCK,NASDAQ,"Applied Optoelectronics, Inc.","AAOI|Applied Optoelectronics, Inc.",Unknown
AAON,STOCK,NASDAQ,"AAON, Inc.","AAON|AAON, Inc.",Unknown
AAPG,STOCK,NASDAQ,Ascentage Pharma Group International,AAPG|Ascentage Pharma Group International,Unknown
AAPL,STOCK,NASDAQ,Apple Inc.,AAPL|Apple Inc.|Apple,Unknown
AARD,STOCK,NASDAQ,"Aardvark Therapeutics, Inc.","AARD|Aardvark Therapeutics, Inc.",Unknown
ABAT,STOCK,NASDAQ,American Battery Technology Company,ABAT|American Battery Technology Company,Unknown
ABCL,STOCK,NASDAQ,AbCellera Biologics Inc.,ABCL|AbCellera Biologics Inc.,Unknown
ABEO,STOCK,NASDAQ,Abeona Therapeutics Inc.,ABEO|Abeona Therapeutics Inc.,Unknown
ABLV,STOCK,NASDAQ,Able View Global Inc.,ABLV|Able View Global Inc.,Unknown
ABNB,STOCK,NASDAQ,"Airbnb, Inc.","ABNB|Airbnb, Inc.",Unknown
ABOS,STOCK,NASDAQ,"Acumen Pharmaceuticals, Inc.","ABOS|Acumen Pharmaceuticals, Inc.",Unknown
ABSI,STOCK,NASDAQ,Absci Corporation,ABSI|Absci Corporation,Unknown
ABTC,STOCK,NASDAQ,American Bitcoin Corp.,ABTC|American Bitcoin Corp.,Unknown
ABTS,STOCK,NASDAQ,Abits Group Inc,ABTS|Abits Group Inc,Unknown
ABUS,STOCK,NASDAQ,Arbutus Biopharma Corporation,ABUS|Arbutus Biopharma Corporation,Unknown
ABVC,STOCK,NASDAQ,"ABVC BioPharma, Inc.","ABVC|ABVC BioPharma, Inc.",Unknown
ABVE,STOCK,NASDAQ,Above Food Ingredients Inc.,ABVE|Above Food Ingredients Inc.,Unknown
ACAA,STOCK,NASDAQ,Averin Capital Acquisition Corp.,ACAA|Averin Capital Acquisition Corp.,Unknown
ACAD,STOCK,NASDAQ,ACADIA Pharmaceuticals Inc.,ACAD|ACADIA Pharmaceuticals Inc.,Unknown
ACB,STOCK,NASDAQ,Aurora Cannabis Inc.,ACB|Aurora Cannabis Inc.,Unknown
ACCL,STOCK,NASDAQ,Acco Group Holdings Limited,ACCL|Acco Group Holdings Limited,Unknown
ACDC,STOCK,NASDAQ,ProFrac Holding Corp.,ACDC|ProFrac Holding Corp.,Unknown
ACET,STOCK,NASDAQ,"Adicet Bio, Inc.","ACET|Adicet Bio, Inc.",Unknown
ACFN,STOCK,NASDAQ,"Acorn Energy, Inc.","ACFN|Acorn Energy, Inc.",Unknown
ACGL,STOCK,NASDAQ,Arch Capital Group Ltd.,ACGL|Arch Capital Group Ltd.,Unknown
ACHC,STOCK,NASDAQ,"Acadia Healthcare Company, Inc.","ACHC|Acadia Healthcare Company, Inc.",Unknown
ACHV,STOCK,NASDAQ,"Achieve Life Sciences, Inc.","ACHV|Achieve Life Sciences, Inc.",Unknown
ACIC,STOCK,NASDAQ,American Coastal Insurance Corporation,ACIC|American Coastal Insurance Corporation,Unknown
ACIU,STOCK,NASDAQ,AC Immune SA,ACIU|AC Immune SA,Unknown
ACIW,STOCK,NASDAQ,"ACI Worldwide, Inc.","ACIW|ACI Worldwide, Inc.",Unknown
ACLS,STOCK,NASDAQ,"Axcelis Technologies, Inc.","ACLS|Axcelis Technologies, Inc.",Unknown
ACLX,STOCK,NASDAQ,"Arcellx, Inc.","ACLX|Arcellx, Inc.",Unknown
ACMR,STOCK,NASDAQ,"ACM Research, Inc.","ACMR|ACM Research, Inc.",Unknown
ACNB,STOCK,NASDAQ,ACNB Corporation,ACNB|ACNB Corporation,Unknown
ACNT,STOCK,NASDAQ,Ascent Industries Co.,ACNT|Ascent Industries Co.,Unknown
ACOG,STOCK,NASDAQ,Alpha Cognition Inc.,ACOG|Alpha Cognition Inc.,Unknown
ACON,STOCK,NASDAQ,"Aclarion, Inc.","ACON|Aclarion, Inc.",Unknown
ACRS,STOCK,NASDAQ,"Aclaris Therapeutics, Inc.","ACRS|Aclaris Therapeutics, Inc.",Unknown
ACRV,STOCK,NASDAQ,"Acrivon Therapeutics, Inc.","ACRV|Acrivon Therapeutics, Inc.",Unknown
ACT,STOCK,NASDAQ,"Enact Holdings, Inc.","ACT|Enact Holdings, Inc.",Unknown
ACTG,STOCK,NASDAQ,Acacia Research Corporation,ACTG|Acacia Research Corporation,Unknown
ACTU,STOCK,NASDAQ,"Actuate Therapeutics, Inc.","ACTU|Actuate Therapeutics, Inc.",Unknown
ACXP,STOCK,NASDAQ,"Acurx Pharmaceuticals, Inc.","ACXP|Acurx Pharmaceuticals, Inc.",Unknown
ADAC,STOCK,NASDAQ,American Drive Acquisition Company,ADAC|American Drive Acquisition Company,Unknown
ADAG,STOCK,NASDAQ,Adagene Inc.,ADAG|Adagene Inc.,Unknown
ADBE,STOCK,NASDAQ,Adobe Inc.,ADBE|Adobe Inc.,Unknown
ADEA,STOCK,NASDAQ,Adeia Inc.,ADEA|Adeia Inc.,Unknown
ADGM,STOCK,NASDAQ,"Adagio Medical Holdings, Inc","ADGM|Adagio Medical Holdings, Inc",Unknown
ADI,STOCK,NASDAQ,"Analog Devices, Inc.","ADI|Analog Devices, Inc.",Unknown
ADIL,STOCK,NASDAQ,"Adial Pharmaceuticals, Inc","ADIL|Adial Pharmaceuticals, Inc",Unknown
ADMA,STOCK,NASDAQ,ADMA Biologics Inc,ADMA|ADMA Biologics Inc,Unknown
ADP,STOCK,NASDAQ,"Automatic Data Processing, Inc.","ADP|Automatic Data Processing, Inc.",Unknown
ADPT,STOCK,NASDAQ,Adaptive Biotechnologies Corporation,ADPT|Adaptive Biotechnologies Corporation,Unknown
ADSE,STOCK,NASDAQ,ADS-TEC ENERGY PLC,ADSE|ADS-TEC ENERGY PLC,Unknown
ADSK,STOCK,NASDAQ,"Autodesk, Inc.","ADSK|Autodesk, Inc.",Unknown
ADTN,STOCK,NASDAQ,"ADTRAN Holdings, Inc.","ADTN|ADTRAN Holdings, Inc.",Unknown
ADTX,STOCK,NASDAQ,"Aditxt, Inc.","ADTX|Aditxt, Inc.",Unknown
ADUR,STOCK,NASDAQ,Aduro Clean Technologies Inc.,ADUR|Aduro Clean Technologies Inc.,Unknown
ADUS,STOCK,NASDAQ,Addus HomeCare Corporation,ADUS|Addus HomeCare Corporation,Unknown
ADV,STOCK,NASDAQ,Advantage Solutions Inc.,ADV|Advantage Solutions Inc.,Unknown
ADVB,STOCK,NASDAQ,Advanced Biomed Inc.,ADVB|Advanced Biomed Inc.,Unknown
AEAQ,STOCK,NASDAQ,Activate Energy Acquisition Corp.,AEAQ|Activate Energy Acquisition Corp.,Unknown
AEBI,STOCK,NASDAQ,Aebi Schmidt Holding AG,AEBI|Aebi Schmidt Holding AG,Unknown
AEC,STOCK,NASDAQ,Anfield Energy Inc.,AEC|Anfield Energy Inc.,Unknown
AEHL,STOCK,NASDAQ,Antelope Enterprise Holdings Limited,AEHL|Antelope Enterprise Holdings Limited,Unknown
AEHR,STOCK,NASDAQ,Aehr Test Systems,AEHR|Aehr Test Systems,Unknown
AEI,STOCK,NASDAQ,Alset Inc.,AEI|Alset Inc.,Unknown
AEIS,STOCK,NASDAQ,"Advanced Energy Industries, Inc.","AEIS|Advanced Energy Industries, Inc.",Unknown
AEMD,STOCK,NASDAQ,"Aethlon Medical, Inc.","AEMD|Aethlon Medical, Inc.",Unknown
AENT,STOCK,NASDAQ,Alliance Entertainment Holding Corporation,AENT|Alliance Entertainment Holding Corporation,Unknown
AEP,STOCK,NASDAQ,"American Electric Power Company, Inc.","AEP|American Electric Power Company, Inc.",Unknown
AERT,STOCK,NASDAQ,"Aeries Technology, Inc.","AERT|Aeries Technology, Inc.",Unknown
AEVA,STOCK,NASDAQ,"Aeva Technologies, Inc.","AEVA|Aeva Technologies, Inc.",Unknown
AEYE,STOCK,NASDAQ,"AudioEye, Inc.","AEYE|AudioEye, Inc.",Unknown
AFBI,STOCK,NASDAQ,"Affinity Bancshares, Inc.","AFBI|Affinity Bancshares, Inc.",Unknown
AFCG,STOCK,NASDAQ,Advanced Flower Capital Inc.,AFCG|Advanced Flower Capital Inc.,Unknown
AFJK,STOCK,NASDAQ,"Aimei Health Technology Co., Ltd","AFJK|Aimei Health Technology Co., Ltd",Unknown
AFRI,STOCK,NASDAQ,Forafric Global PLC,AFRI|Forafric Global PLC,Unknown
AFRM,STOCK,NASDAQ,"Affirm Holdings, Inc.","AFRM|Affirm Holdings, Inc.",Unknown
AFYA,STOCK,NASDAQ,Afya Limited,AFYA|Afya Limited,Unknown
AGAE,STOCK,NASDAQ,Allied Gaming & Entertainment Inc.,AGAE|Allied Gaming & Entertainment Inc.,Unknown
AGCC,STOCK,NASDAQ,Agencia Comercial Spirits Ltd,AGCC|Agencia Comercial Spirits Ltd,Unknown
AGEN,STOCK,NASDAQ,Agenus Inc.,AGEN|Agenus Inc.,Unknown
AGH,STOCK,NASDAQ,Aureus Greenway Holdings Inc.,AGH|Aureus Greenway Holdings Inc.,Unknown
AGIO,STOCK,NASDAQ,"Agios Pharmaceuticals, Inc.","AGIO|Agios Pharmaceuticals, Inc.",Unknown
AGMB,STOCK,NASDAQ,AgomAb Therapeutics NV,AGMB|AgomAb Therapeutics NV,Unknown
AGMH,STOCK,NASDAQ,AGM Group Holdings Inc.,AGMH|AGM Group Holdings Inc.,Unknown
AGNC,STOCK,NASDAQ,AGNC Investment Corp.,AGNC|AGNC Investment Corp.,Unknown
AGPU,STOCK,NASDAQ,Axe Compute Inc.,AGPU|Axe Compute Inc.,Unknown
AGRZ,STOCK,NASDAQ,Agroz Inc.,AGRZ|Agroz Inc.,Unknown
AGYS,STOCK,NASDAQ,"Agilysys, Inc.","AGYS|Agilysys, Inc.",Unknown
AHCO,STOCK,NASDAQ,AdaptHealth Corp.,AHCO|AdaptHealth Corp.,Unknown
AHMA,STOCK,NASDAQ,Ambitions Enterprise Management Co. L.L.C,AHMA|Ambitions Enterprise Management Co. L.L.C,Unknown
AIDX,STOCK,NASDAQ,"20/20 Biolabs, Inc.","AIDX|20/20 Biolabs, Inc.",Unknown
AIFF,STOCK,NASDAQ,"Firefly Neuroscience, Inc.","AIFF|Firefly Neuroscience, Inc.",Unknown
AIFU,STOCK,NASDAQ,AIFU Inc.,AIFU|AIFU Inc.,Unknown
AIHS,STOCK,NASDAQ,Senmiao Technology Limited,AIHS|Senmiao Technology Limited,Unknown
AIIO,STOCK,NASDAQ,Robo.ai Inc.,AIIO|Robo.ai Inc.,Unknown
AIMD,STOCK,NASDAQ,"Ainos, Inc.","AIMD|Ainos, Inc.",Unknown
AIOS,STOCK,NASDAQ,AIOS Tech Inc.,AIOS|AIOS Tech Inc.,Unknown
AIOT,STOCK,NASDAQ,"PowerFleet, Inc.","AIOT|PowerFleet, Inc.",Unknown
AIP,STOCK,NASDAQ,"Arteris, Inc.","AIP|Arteris, Inc.",Unknown
AIRE,STOCK,NASDAQ,reAlpha Tech Corp.,AIRE|reAlpha Tech Corp.,Unknown
AIRG,STOCK,NASDAQ,"Airgain, Inc.","AIRG|Airgain, Inc.",Unknown
AIRJ,STOCK,NASDAQ,AirJoule Technologies Corporation,AIRJ|AirJoule Technologies Corporation,Unknown
AIRO,STOCK,NASDAQ,"AIRO Group Holdings, Inc.","AIRO|AIRO Group Holdings, Inc.",Unknown
AIRS,STOCK,NASDAQ,"AirSculpt Technologies, Inc.","AIRS|AirSculpt Technologies, Inc.",Unknown
AIRT,STOCK,NASDAQ,"Air T, Inc.","AIRT|Air T, Inc.",Unknown
AISP,STOCK,NASDAQ,"Airship AI Holdings, Inc","AISP|Airship AI Holdings, Inc",Unknown
AIXC,STOCK,NASDAQ,"AIxCrypto Holdings, Inc.","AIXC|AIxCrypto Holdings, Inc.",Unknown
AKAM,STOCK,NASDAQ,"Akamai Technologies, Inc.","AKAM|Akamai Technologies, Inc.",Unknown
AKAN,STOCK,NASDAQ,Akanda Corp.,AKAN|Akanda Corp.,Unknown
AKBA,STOCK,NASDAQ,"Akebia Therapeutics, Inc.","AKBA|Akebia Therapeutics, Inc.",Unknown
AKTS,STOCK,NASDAQ,"Aktis Oncology, Inc.","AKTS|Aktis Oncology, Inc.",Unknown
ALAB,STOCK,NASDAQ,"Astera Labs, Inc.","ALAB|Astera Labs, Inc.",Unknown
ALBT,STOCK,NASDAQ,Avalon GloboCare Corp.,ALBT|Avalon GloboCare Corp.,Unknown
ALCO,STOCK,NASDAQ,"Alico, Inc.","ALCO|Alico, Inc.",Unknown
ALCY,STOCK,NASDAQ,Alchemy Investments Acquisition Corp 1,ALCY|Alchemy Investments Acquisition Corp 1,Unknown
ALDF,STOCK,NASDAQ,Aldel Financial II Inc.,ALDF|Aldel Financial II Inc.,Unknown
ALDX,STOCK,NASDAQ,"Aldeyra Therapeutics, Inc.","ALDX|Aldeyra Therapeutics, Inc.",Unknown
ALEC,STOCK,NASDAQ,"Alector, Inc.","ALEC|Alector, Inc.",Unknown
ALF,STOCK,NASDAQ,Centurion Acquisition Corp.,ALF|Centurion Acquisition Corp.,Unknown
ALGM,STOCK,NASDAQ,"Allegro MicroSystems, Inc.","ALGM|Allegro MicroSystems, Inc.",Unknown
ALGN,STOCK,NASDAQ,"Align Technology, Inc.","ALGN|Align Technology, Inc.",Unknown
ALGS,STOCK,NASDAQ,"Aligos Therapeutics, Inc.","ALGS|Aligos Therapeutics, Inc.",Unknown
ALGT,STOCK,NASDAQ,Allegiant Travel Company,ALGT|Allegiant Travel Company,Unknown
ALHC,STOCK,NASDAQ,"Alignment Healthcare, Inc.","ALHC|Alignment Healthcare, Inc.",Unknown
ALIS,STOCK,NASDAQ,Calisa Acquisition Corp,ALIS|Calisa Acquisition Corp,Unknown
ALKS,STOCK,NASDAQ,Alkermes plc,ALKS|Alkermes plc,Unknown
ALKT,STOCK,NASDAQ,"Alkami Technology, Inc.","ALKT|Alkami Technology, Inc.",Unknown
ALLO,STOCK,NASDAQ,"Allogene Therapeutics, Inc.","ALLO|Allogene Therapeutics, Inc.",Unknown
ALLR,STOCK,NASDAQ,"Allarity Therapeutics, Inc.","ALLR|Allarity Therapeutics, Inc.",Unknown
ALLT,STOCK,NASDAQ,Allot Ltd.,ALLT|Allot Ltd.,Unknown
ALM,STOCK,NASDAQ,Almonty Industries Inc.,ALM|Almonty Industries Inc.,Unknown
ALMR,STOCK,NASDAQ,"Alamar Biosciences, Inc.","ALMR|Alamar Biosciences, Inc.",Unknown
ALMS,STOCK,NASDAQ,Alumis Inc.,ALMS|Alumis Inc.,Unknown
ALMU,STOCK,NASDAQ,"Aeluma, Inc.","ALMU|Aeluma, Inc.",Unknown
ALNT,STOCK,NASDAQ,Allient Inc.,ALNT|Allient Inc.,Unknown
ALNY,STOCK,NASDAQ,"Alnylam Pharmaceuticals, Inc.","ALNY|Alnylam Pharmaceuticals, Inc.",Unknown
ALOT,STOCK,NASDAQ,"AstroNova, Inc.","ALOT|AstroNova, Inc.",Unknown
ALOV,STOCK,NASDAQ,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.","ALOV|Aldabra 4 Liquidity Opportunity Vehicle, Inc.",Unknown
ALOY,STOCK,NASDAQ,REalloys Inc.,ALOY|REalloys Inc.,Unknown
ALPS,STOCK,NASDAQ,ALPS Group Inc,ALPS|ALPS Group Inc,Unknown
ALRM,STOCK,NASDAQ,"Alarm.com Holdings, Inc.","ALRM|Alarm.com Holdings, Inc.",Unknown
ALRS,STOCK,NASDAQ,Alerus Financial Corporation,ALRS|Alerus Financial Corporation,Unknown
ALT,STOCK,NASDAQ,"Altimmune, Inc.","ALT|Altimmune, Inc.",Unknown
ALTI,STOCK,NASDAQ,"AlTi Global, Inc.","ALTI|AlTi Global, Inc.",Unknown
ALTO,STOCK,NASDAQ,"Alto Ingredients, Inc.","ALTO|Alto Ingredients, Inc.",Unknown
ALTS,STOCK,NASDAQ,ALT5 Sigma Corporation,ALTS|ALT5 Sigma Corporation,Unknown
ALVO,STOCK,NASDAQ,Alvotech,ALVO|Alvotech,Unknown
ALXO,STOCK,NASDAQ,ALX Oncology Holdings Inc.,ALXO|ALX Oncology Holdings Inc.,Unknown
ALZN,STOCK,NASDAQ,"Alzamend Neuro, Inc.","ALZN|Alzamend Neuro, Inc.",Unknown
AMAL,STOCK,NASDAQ,Amalgamated Financial Corp.,AMAL|Amalgamated Financial Corp.,Unknown
AMAT,STOCK,NASDAQ,"Applied Materials, Inc.","AMAT|Applied Materials, Inc.",Unknown
AMBA,STOCK,NASDAQ,"Ambarella, Inc.","AMBA|Ambarella, Inc.",Unknown
AMCI,STOCK,NASDAQ,AMC Robotics Corporation,AMCI|AMC Robotics Corporation,Unknown
AMCX,STOCK,NASDAQ,AMC Global Media Inc.,AMCX|AMC Global Media Inc.,Unknown
AMD,STOCK,NASDAQ,"Advanced Micro Devices, Inc.","AMD|Advanced Micro Devices, Inc.",Unknown
AMGN,STOCK,NASDAQ,Amgen Inc.,AMGN|Amgen Inc.,Unknown
AMIX,STOCK,NASDAQ,"Autonomix Medical, Inc.","AMIX|Autonomix Medical, Inc.",Unknown
AMKR,STOCK,NASDAQ,"Amkor Technology, Inc.","AMKR|Amkor Technology, Inc.",Unknown
AMLX,STOCK,NASDAQ,"Amylyx Pharmaceuticals, Inc.","AMLX|Amylyx Pharmaceuticals, Inc.",Unknown
AMOD,STOCK,NASDAQ,"Alpha Modus Holdings, Inc.","AMOD|Alpha Modus Holdings, Inc.",Unknown
AMPG,STOCK,NASDAQ,"Amplitech Group, Inc.","AMPG|Amplitech Group, Inc.",Unknown
AMPH,STOCK,NASDAQ,"Amphastar Pharmaceuticals, Inc.","AMPH|Amphastar Pharmaceuticals, Inc.",Unknown
AMPL,STOCK,NASDAQ,"Amplitude, Inc.","AMPL|Amplitude, Inc.",Unknown
AMRX,STOCK,NASDAQ,"Amneal Pharmaceuticals, Inc.","AMRX|Amneal Pharmaceuticals, Inc.",Unknown
AMSC,STOCK,NASDAQ,American Superconductor Corporation,AMSC|American Superconductor Corporation,Unknown
AMSF,STOCK,NASDAQ,"AMERISAFE, Inc.","AMSF|AMERISAFE, Inc.",Unknown
AMST,STOCK,NASDAQ,Amesite Inc.,AMST|Amesite Inc.,Unknown
AMTX,STOCK,NASDAQ,"Aemetis, Inc","AMTX|Aemetis, Inc",Unknown
AMWD,STOCK,NASDAQ,American Woodmark Corporation,AMWD|American Woodmark Corporation,Unknown
AMZN,STOCK,NASDAQ,"Amazon.com, Inc.","AMZN|Amazon.com, Inc.|Amazon",Unknown
ANAB,STOCK,NASDAQ,"AnaptysBio, Inc.","ANAB|AnaptysBio, Inc.",Unknown
ANABV,STOCK,NASDAQ,"AnaptysBio, Inc.","ANABV|AnaptysBio, Inc.",Unknown
ANDE,STOCK,NASDAQ,"The Andersons, Inc.","ANDE|The Andersons, Inc.",Unknown
ANGH,STOCK,NASDAQ,Anghami Inc.,ANGH|Anghami Inc.,Unknown
ANGI,STOCK,NASDAQ,Angi Inc.,ANGI|Angi Inc.,Unknown
ANGO,STOCK,NASDAQ,"AngioDynamics, Inc.","ANGO|AngioDynamics, Inc.",Unknown
ANIK,STOCK,NASDAQ,Anika Therapeutics Inc.,ANIK|Anika Therapeutics Inc.,Unknown
ANIP,STOCK,NASDAQ,"ANI Pharmaceuticals, Inc.","ANIP|ANI Pharmaceuticals, Inc.",Unknown
ANIX,STOCK,NASDAQ,"Anixa Biosciences, Inc.","ANIX|Anixa Biosciences, Inc.",Unknown
ANNA,STOCK,NASDAQ,"AleAnna, Inc.","ANNA|AleAnna, Inc.",Unknown
ANNX,STOCK,NASDAQ,"Annexon, Inc.","ANNX|Annexon, Inc.",Unknown
ANPA,STOCK,NASDAQ,Rich Sparkle Holdings Limited,ANPA|Rich Sparkle Holdings Limited,Unknown
ANSC,STOCK,NASDAQ,Agriculture & Natural Solutions Acquisition Corporation,ANSC|Agriculture & Natural Solutions Acquisition Corporation,Unknown
ANTA,STOCK,NASDAQ,Antalpha Platform Holding Company,ANTA|Antalpha Platform Holding Company,Unknown
ANTX,STOCK,NASDAQ,"AN2 Therapeutics, Inc.","ANTX|AN2 Therapeutics, Inc.",Unknown
ANY,STOCK,NASDAQ,Sphere 3D Corp.,ANY|Sphere 3D Corp.,Unknown
AOSL,STOCK,NASDAQ,Alpha and Omega Semiconductor Limited,AOSL|Alpha and Omega Semiconductor Limited,Unknown
AOUT,STOCK,NASDAQ,"American Outdoor Brands, Inc.","AOUT|American Outdoor Brands, Inc.",Unknown
APA,STOCK,NASDAQ,APA Corporation,APA|APA Corporation,Unknown
APAC,STOCK,NASDAQ,StoneBridge Acquisition II Corporation,APAC|StoneBridge Acquisition II Corporation,Unknown
APAD,STOCK,NASDAQ,A Paradise Acquisition Corp.,APAD|A Paradise Acquisition Corp.,Unknown
APC,STOCK,NASDAQ,ARKO Petroleum Corp.,APC|ARKO Petroleum Corp.,Unknown
APEI,STOCK,NASDAQ,"American Public Education, Inc.","APEI|American Public Education, Inc.",Unknown
APGE,STOCK,NASDAQ,"Apogee Therapeutics, Inc.","APGE|Apogee Therapeutics, Inc.",Unknown
API,STOCK,NASDAQ,"Agora, Inc.","API|Agora, Inc.",Unknown
APLD,STOCK,NASDAQ,Applied Digital Corporation,APLD|Applied Digital Corporation,Unknown
APLM,STOCK,NASDAQ,Apollomics Inc.,APLM|Apollomics Inc.,Unknown
APLS,STOCK,NASDAQ,"Apellis Pharmaceuticals, Inc.","APLS|Apellis Pharmaceuticals, Inc.",Unknown
APM,STOCK,NASDAQ,Aptorum Group Limited,APM|Aptorum Group Limited,Unknown
APOG,STOCK,NASDAQ,"Apogee Enterprises, Inc.","APOG|Apogee Enterprises, Inc.",Unknown
APP,STOCK,NASDAQ,Applovin Corporation,APP|Applovin Corporation,Unknown
APPF,STOCK,NASDAQ,"AppFolio, Inc.","APPF|AppFolio, Inc.",Unknown
APPN,STOCK,NASDAQ,Appian Corporation,APPN|Appian Corporation,Unknown
APPS,STOCK,NASDAQ,"Digital Turbine, Inc.","APPS|Digital Turbine, Inc.",Unknown
APRE,STOCK,NASDAQ,"Aprea Therapeutics, Inc.","APRE|Aprea Therapeutics, Inc.",Unknown
APVO,STOCK,NASDAQ,Aptevo Therapeutics Inc.,APVO|Aptevo Therapeutics Inc.,Unknown
APWC,STOCK,NASDAQ,Asia Pacific Wire & Cable Corporation Limited,APWC|Asia Pacific Wire & Cable Corporation Limited,Unknown
APXT,STOCK,NASDAQ,Apex Treasury Corporation,APXT|Apex Treasury Corporation,Unknown
APYX,STOCK,NASDAQ,Apyx Medical Corporation,APYX|Apyx Medical Corporation,Unknown
AQB,STOCK,NASDAQ,"AquaBounty Technologies, Inc.","AQB|AquaBounty Technologies, Inc.",Unknown
AQMS,STOCK,NASDAQ,"Aqua Metals, Inc.","AQMS|Aqua Metals, Inc.",Unknown
AQST,STOCK,NASDAQ,"Aquestive Therapeutics, Inc.","AQST|Aquestive Therapeutics, Inc.",Unknown
ARAI,STOCK,NASDAQ,Arrive AI Inc.,ARAI|Arrive AI Inc.,Unknown
ARAY,STOCK,NASDAQ,Accuray Incorporated,ARAY|Accuray Incorporated,Unknown
ARBB,STOCK,NASDAQ,ARB IOT Group Limited,ARBB|ARB IOT Group Limited,Unknown
ARBE,STOCK,NASDAQ,Arbe Robotics Ltd.,ARBE|Arbe Robotics Ltd.,Unknown
ARCB,STOCK,NASDAQ,ArcBest Corporation,ARCB|ArcBest Corporation,Unknown
ARCI,STOCK,NASDAQ,Archimedes Tech SPAC Partners III Co.,ARCI|Archimedes Tech SPAC Partners III Co.,Unknown
ARCT,STOCK,NASDAQ,Arcturus Therapeutics Holdings Inc.,ARCT|Arcturus Therapeutics Holdings Inc.,Unknown
ARDX,STOCK,NASDAQ,"Ardelyx, Inc.","ARDX|Ardelyx, Inc.",Unknown
AREB,STOCK,NASDAQ,"American Rebel Holdings, Inc.","AREB|American Rebel Holdings, Inc.",Unknown
AREC,STOCK,NASDAQ,American Resources Corporation,AREC|American Resources Corporation,Unknown
ARHS,STOCK,NASDAQ,"Arhaus, Inc.","ARHS|Arhaus, Inc.",Unknown
ARKO,STOCK,NASDAQ,ARKO Corp.,ARKO|ARKO Corp.,Unknown
ARKR,STOCK,NASDAQ,Ark Restaurants Corp.,ARKR|Ark Restaurants Corp.,Unknown
AROW,STOCK,NASDAQ,Arrow Financial Corporation,AROW|Arrow Financial Corporation,Unknown
ARQ,STOCK,NASDAQ,"Arq, Inc.","ARQ|Arq, Inc.",Unknown
ARQQ,STOCK,NASDAQ,Arqit Quantum Inc.,ARQQ|Arqit Quantum Inc.,Unknown
ARQT,STOCK,NASDAQ,"Arcutis Biotherapeutics, Inc.","ARQT|Arcutis Biotherapeutics, Inc.",Unknown
ARRY,STOCK,NASDAQ,"Array Technologies, Inc.","ARRY|Array Technologies, Inc.",Unknown
